id,user_id,movie_id,episode_id,progress_seconds,updated_at
1f0cf642-d3b4-434e-8a88-e9873e192c03,1e6805fa-2bfa-4d99-b125-397ea9e7214a,46e82b8b-8f32-48ff-ab47-be8df534e6a5,dad8d521-ada0-4a41-a69e-1215911c92d9,0,2026-02-14 05:52:20.66+00
2114c7cd-b706-48df-b997-bce90e0d8681,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1984,2026-02-14 06:05:49.067+00
2520bdc7-f7d2-436a-8489-7177f711cf42,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2259,2026-02-14 06:36:45.161+00
269c3d9e-0ae9-4c6d-8ece-0c3f0613686c,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2409,2026-02-14 05:43:57.393+00
297858f7-c2fe-4f5d-9917-8329618dedce,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 03:10:22.497+00
2aad82cb-e2b8-4bde-8be4-4789b7c8c139,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 17:20:40.888+00
2af721e0-e24d-47f4-bee8-89ba58f92389,1e6805fa-2bfa-4d99-b125-397ea9e7214a,e9b9c3c0-110c-49a8-b2f9-016998eece72,,0,2026-02-14 06:54:43.317+00
35a27622-f89a-4495-9258-c23329692eeb,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 17:34:03.937+00
36f6818d-21ed-40f2-9591-922996d7f39e,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2537,2026-02-14 07:24:41.028+00
38d80b49-dace-494e-bd75-835098e6f398,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1151,2026-02-14 05:40:11.053+00
3960a47d-c984-482f-b861-d13caddd5203,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2051,2026-02-14 05:43:46.425+00
3973888e-327f-4028-a62c-427df2871815,1e6805fa-2bfa-4d99-b125-397ea9e7214a,e9b9c3c0-110c-49a8-b2f9-016998eece72,,0,2026-02-14 06:54:45.044+00
398613c7-cf14-4a0f-b2ec-d137e0d4315a,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2537,2026-02-14 07:17:28.971+00
3cf851d5-753e-448c-b776-29b9508bfc07,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1984,2026-02-14 06:06:00.084+00
4513f685-977d-40b9-834a-3a2e9e2fafaa,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2259,2026-02-14 06:36:33.673+00
467cfa1b-5308-49ee-8243-c332261ae73b,1e6805fa-2bfa-4d99-b125-397ea9e7214a,e9b9c3c0-110c-49a8-b2f9-016998eece72,,1592,2026-02-14 06:54:47.88+00
471410c6-bc68-43c9-ba9d-6ba34bbbe355,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2255,2026-02-14 06:29:20.649+00
48b3ae01-7bfe-48e8-b659-91069bb4e89a,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 03:10:24.635+00
49b79462-dc6d-4975-b83a-63e8e7860dbe,1e6805fa-2bfa-4d99-b125-397ea9e7214a,46e82b8b-8f32-48ff-ab47-be8df534e6a5,988314ca-abdb-42b7-b0ae-a33479eeddf2,0,2026-02-14 05:52:06.417+00
4ae121b2-63d3-4302-8b63-88c7abe4ab19,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1523,2026-02-14 08:15:46.51+00
4b88cdea-bb2b-43f0-89ac-d52f23aa541f,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1141,2026-02-14 05:40:01.042+00
4d2c36d9-ec96-4015-b8a4-76efd822459d,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,2543,2026-02-14 06:53:35.373+00
4d63d625-a5d3-48b8-8819-525ea5c63d60,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,1984,2026-02-14 05:45:59.585+00
4d6601de-927d-4556-89ee-1e48fada6f2d,1e6805fa-2bfa-4d99-b125-397ea9e7214a,b5644e67-de83-4c5c-952a-44dc76643de2,,0,2026-02-14 17:37:42.068+00
